surgery,age,tempRectal,pulse,respiratoryRate,tempExtrem,pulsePeripheral,mucousMembranes,capilaryRefillTime,pain,peristalsis,abdominalDistension,nasogastricTube,nasogastricReflux,rectalExamination,abdomen,cellVolume,totalProtein,surgicalLesion,pathologyData,lesionSite,lesionType,lesionSubtype,lesionCode,outcome,tempRectalMissing,pulseMissing,respiratoryRateMissing,tempExtremMissing,pulsePeripheralMissing,mucousMembranesMissing,capilaryRefillTimeMissing,painMissing,peristalsisMissing,abdominalDistensionMissing,nasogastricTubeMissing,nasogastricRefluxMissing,rectalExaminationMissing,abdomenMissing,cellVolumeMissing,totalProteinMissing,tempRectalDiscr,pulseDiscr,respiratoryRateDiscr,cellVolumeDiscr,totalProteinDiscr,tempExtrem_cold,tempExtrem_cool,tempExtrem_normal,tempExtrem_warm,pulsePeripheral_absent,pulsePeripheral_increased,pulsePeripheral_normal,pulsePeripheral_reduced,mucousMembranes_brightPink,mucousMembranes_brightRedInjected,mucousMembranes_darkCyanotic,mucousMembranes_normalPink,mucousMembranes_paleCyanotic,mucousMembranes_palePink,pain_alert,pain_continuousSevere,pain_depressed,pain_intermittentMild,pain_intermittentSevere,peristalsis_absent,peristalsis_hypermotile,peristalsis_hypomotile,peristalsis_normal,abdominalDistension_moderate,abdominalDistension_none,abdominalDistension_severe,abdominalDistension_slight,nasogastricTube_none,nasogastricTube_significant,nasogastricTube_slight,nasogastricReflux_<1liter,nasogastricReflux_>1liter,nasogastricReflux_none,rectalExamination_absent,rectalExamination_decreased,rectalExamination_increased,rectalExamination_normal,abdomen_distendedLarge,abdomen_distendedSmall,abdomen_firmFecesLarge,abdomen_normal,abdomen_other,lesionSite_allIntestinalSites,lesionSite_bladder,lesionSite_cecum,lesionSite_colon,lesionSite_colonCecum,lesionSite_colonDescending,lesionSite_colonTransverse,lesionSite_gastric,lesionSite_intestine,lesionSite_none,lesionSite_uterus,lesionType_inflamation,lesionType_none,lesionType_other,lesionType_simple,lesionType_strangulation,lesionSubtype_mechanical,lesionSubtype_none,lesionSubtype_paralytic,lesionCode_adynamic,lesionCode_displacement,lesionCode_extrinsic,lesionCode_hernia,lesionCode_intrinsic,lesionCode_intussuption,lesionCode_lipoma,lesionCode_none,lesionCode_obturation,lesionCode_thromboembolic,lesionCode_torsion,outcome_died,outcome_euthanized,outcome_lived
yes,adult,-0.10483838430195119,0.42326878599517376,1.0541845309335935,cold,normal,paleCyanotic,>=3,continuousSevere,hypomotile,none,none,<1liter,absent,distendedSmall,1.2906775426535595,-0.6722094841198805,yes,yes,intestine,strangulation,none,lipoma,died,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,normal,normal,high,high,low,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
yes,young,0.054281803039592326,0.20877083337368232,1.6831848471498374,cold,absent,darkCyanotic,>=3,intermittentMild,hypomotile,moderate,none,>1liter,normal,distendedSmall,1.2163790898222109,-0.7106258597677033,yes,yes,intestine,strangulation,none,torsion,died,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,normal,normal,high,high,low,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
yes,adult,-0.741319133668114,-0.6134713183420348,0.10940244178291668,warm,normal,brightPink,<3,depressed,hypomotile,moderate,none,<1liter,absent,distendedLarge,-0.06770095858496199,0.7107800392017414,yes,no,colon,strangulation,none,lipoma,lived,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,low,low,normal,normal,normal,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
no,adult,-0.9004393210096575,-0.8637189297337748,0.6389002381374747,cool,normal,normalPink,<3,intermittentMild,hypomotile,none,slight,none,decreased,other,-0.12063891995856849,-0.6914176719437919,no,yes,colon,simple,mechanical,obturation,lived,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,low,low,normal,normal,low,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
yes,adult,-0.9004393210096575,-1.1497161998957635,-0.705601504265702,normal,normal,normalPink,<3,alert,hypermotile,none,none,none,normal,normal,-0.4541501822517358,-0.11517203722644936,yes,yes,colon,simple,mechanical,displacement,lived,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,low,low,normal,normal,normal,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
yes,adult,-1.8551604450589072,-0.5777216595717862,-0.22063959918589865,cool,normal,paleCyanotic,>=3,intermittentSevere,absent,moderate,none,none,decreased,distendedLarge,-1.21838968918518,1.409958075992117,no,no,intestine,strangulation,none,torsion,euthanized,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low,low,normal,low,high,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
no,adult,-1.2186796956927446,-0.6492209771122834,-0.8474715157423722,cool,normal,normalPink,<3,intermittentMild,absent,moderate,slight,>1liter,absent,distendedLarge,-1.986112423176472,-0.6606845714255337,yes,yes,colonDescending,simple,mechanical,obturation,lived,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,low,low,low,low,low,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
no,adult,0.8498827397472986,-0.7207202946527805,0.597907884177887,normal,normal,normalPink,<3,alert,hypomotile,none,slight,none,normal,firmFecesLarge,-14.479763574617255,1.9093709594138137,no,no,none,none,none,none,lived,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,high,low,normal,low,high,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
no,adult,-1.059559508351201,-1.1497161998957635,0.3920550660065412,cool,normal,palePink,<3,intermittentMild,normal,moderate,slight,none,decreased,distendedLarge,-1.6618620127173636,-0.6875760343790095,yes,yes,colon,simple,paralytic,adynamic,lived,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,low,low,normal,low,low,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
no,adult,-0.5821989463265818,-0.434723024490792,-1.1082638226180797,normal,normal,palePink,<3,depressed,hypomotile,slight,none,>1liter,decreased,distendedLarge,-0.4541501822517358,1.8709545837659909,no,no,colonCecum,simple,paralytic,adynamic,euthanized,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,normal,low,low,normal,high,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
