surgery,age,tempRectal,pulse,respiratoryRate,tempExtrem,pulsePeripheral,mucousMembranes,capilaryRefillTime,pain,peristalsis,abdominalDistension,nasogastricTube,nasogastricReflux,rectalExamination,abdomen,cellVolume,totalProtein,surgicalLesion,pathologyData,lesionSite,lesionType,lesionSubtype,lesionCode,outcome,tempRectalMissing,pulseMissing,respiratoryRateMissing,tempExtremMissing,pulsePeripheralMissing,mucousMembranesMissing,capilaryRefillTimeMissing,painMissing,peristalsisMissing,abdominalDistensionMissing,nasogastricTubeMissing,nasogastricRefluxMissing,rectalExaminationMissing,abdomenMissing,cellVolumeMissing,totalProteinMissing,tempRectalDiscr,pulseDiscr,respiratoryRateDiscr,cellVolumeDiscr,totalProteinDiscr,tempExtrem_cold,tempExtrem_cool,tempExtrem_normal,tempExtrem_warm,pulsePeripheral_absent,pulsePeripheral_increased,pulsePeripheral_normal,pulsePeripheral_reduced,mucousMembranes_brightPink,mucousMembranes_brightRedInjected,mucousMembranes_darkCyanotic,mucousMembranes_normalPink,mucousMembranes_paleCyanotic,mucousMembranes_palePink,pain_alert,pain_continuousSevere,pain_depressed,pain_intermittentMild,pain_intermittentSevere,peristalsis_absent,peristalsis_hypermotile,peristalsis_hypomotile,peristalsis_normal,abdominalDistension_moderate,abdominalDistension_none,abdominalDistension_severe,abdominalDistension_slight,nasogastricTube_none,nasogastricTube_significant,nasogastricTube_slight,nasogastricReflux_<1liter,nasogastricReflux_>1liter,nasogastricReflux_none,rectalExamination_absent,rectalExamination_decreased,rectalExamination_increased,rectalExamination_normal,abdomen_distendedLarge,abdomen_distendedSmall,abdomen_firmFecesLarge,abdomen_normal,abdomen_other,lesionSite_allIntestinalSites,lesionSite_bladder,lesionSite_cecum,lesionSite_colon,lesionSite_colonCecum,lesionSite_colonDescending,lesionSite_colonTransverse,lesionSite_gastric,lesionSite_intestine,lesionSite_none,lesionSite_uterus,lesionType_inflamation,lesionType_none,lesionType_other,lesionType_simple,lesionType_strangulation,lesionSubtype_mechanical,lesionSubtype_none,lesionSubtype_paralytic,lesionCode_adynamic,lesionCode_displacement,lesionCode_extrinsic,lesionCode_hernia,lesionCode_intrinsic,lesionCode_intussuption,lesionCode_lipoma,lesionCode_none,lesionCode_obturation,lesionCode_thromboembolic,lesionCode_torsion,outcome_died,outcome_euthanized,outcome_lived
yes,adult,0.21340199038112453,2.4252496771290937,-0.22063959918589865,cool,reduced,paleCyanotic,>=3,intermittentSevere,absent,severe,slight,none,absent,distendedLarge,1.06315870381617,1.7172890811746997,yes,no,colon,strangulation,none,torsion,euthanized,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,normal,high,normal,high,high,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
no,adult,0.21340199038112453,-1.1497161998957635,-1.1082638226180797,cool,normal,normalPink,<3,depressed,hypermotile,none,none,none,normal,normal,-0.9472752294366971,1.2562925734008257,no,no,none,none,none,none,lived,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,normal,low,low,low,high,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,0.5316423650642116,0.7092660561571623,0.8577656996345353,cold,reduced,palePink,<3,depressed,absent,moderate,none,<1liter,absent,distendedSmall,0.08694051288742428,1.640456329879054,yes,no,intestine,strangulation,none,hernia,lived,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,normal,normal,high,normal,high,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
no,adult,0.37252217772266805,1.4242592315621339,-0.22063959918589865,cool,reduced,paleCyanotic,>=3,continuousSevere,absent,slight,slight,none,absent,distendedLarge,-0.5718621475111355,-0.7298340475916147,no,yes,none,other,none,none,lived,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,normal,high,normal,normal,low,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,0.21340199038112453,-1.0782168823552662,-0.22063959918589865,normal,normal,normalPink,<3,intermittentMild,hypomotile,none,slight,none,absent,distendedLarge,-0.5718621475111355,-0.6069016455185816,yes,no,colonDescending,simple,mechanical,extrinsic,died,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,normal,low,normal,normal,low,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
yes,adult,0.054281803039592326,0.9952633263191509,0.25581679193687595,cool,reduced,paleCyanotic,>=3,continuousSevere,absent,severe,significant,<1liter,absent,distendedSmall,0.6501746667545668,-0.6798927592494451,yes,no,intestine,simple,paralytic,adynamic,lived,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,normal,normal,high,low,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
yes,adult,0.21340199038112453,2.1392524069671053,0.46945620295513957,cool,reduced,darkCyanotic,>=3,depressed,absent,slight,slight,<1liter,absent,distendedSmall,1.06315870381617,-0.626109833342493,yes,yes,intestine,simple,mechanical,intrinsic,lived,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,normal,high,normal,high,low,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
no,young,-0.2639585716434947,0.7092660561571623,0.10940244178291668,normal,normal,brightPink,<3,alert,hypomotile,slight,significant,none,normal,normal,-0.9472752294366971,-0.6991009470733566,no,yes,none,none,none,none,died,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,normal,normal,normal,low,low,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
yes,young,0.054281803039592326,1.8532551368051167,2.4388559952652336,normal,reduced,brightPink,<3,depressed,hypomotile,severe,none,none,absent,distendedLarge,0.18672182104553078,-0.626109833342493,yes,yes,bladder,other,none,none,lived,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,normal,high,high,normal,low,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
no,adult,0.054281803039592326,-0.14872575432880342,0.3920550660065412,warm,increased,brightPink,<3,alert,hypermotile,none,significant,none,normal,normal,-0.22870670244028438,1.5636235785834083,no,no,none,none,none,none,lived,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,low,normal,normal,high,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
